,feature_idx,group,revised_group
310,37298,15,14
311,14720,16,15
312,27188,17,16
313,38515,17,16
314,59985,17,16
315,28963,18,17
316,3913,19,18
317,7956,19,18
318,28301,20,19
319,58371,20,19
320,35768,20,19
321,60268,20,19
322,46406,20,19
323,56666,20,20
324,62838,20,20
325,54834,20,20
326,55450,20,20
327,7803,20,20
328,28184,20,20
329,43675,20,20
330,62542,21,29
331,63491,22,29
332,18553,22,29
333,31202,22,29
334,55889,22,29
335,46327,23,21
336,61987,23,21
337,5196,23,21
338,56436,23,21
339,3207,23,22
340,55011,23,22
341,7576,23,22
342,3434,23,22
343,35504,23,22
344,11571,24,23
345,20650,24,23
346,46132,24,23
347,49295,24,23
348,62974,24,23
349,646,24,23
350,15868,24,23
351,4359,25,24
352,27677,25,24
353,38744,25,24
354,52786,25,24
355,25041,25,24
356,41011,25,24
357,41976,25,24
358,3430,25,24
359,19598,25,24
360,38943,25,24
